"ID_RESP","ITEM_1","ITEM_2","ITEM_3","ITEM_4","ITEM_5","ITEM_6"
"1",4,4,1,3,6,1
"2",7,7,7,7,4,7
"3",6,4,1,4,6,3
"4",7,4,6,4,7,4
"5",5,6,4,4,1,6
"6",4,5,2,4,5,4
"7",5,3,3,2,5,3
"8",6,4,4,4,7,3
"9",6,7,6,4,6,4
"10",7,6,5,4,5,6
"11",3,1,6,3,4,2
"12",4,6,1,4,5,4
"13",6,4,4,3,6,4
"14",5,5,4,4,7,4
"15",7,4,4,6,5,4
"16",7,7,6,6,7,7
"17",7,6,3,5,5,3
"18",6,5,5,6,7,5
"19",6,5,4,1,6,5
"20",7,6,5,6,7,5
"21",3,1,1,1,3,3
"22",4,2,3,4,4,1
"23",4,3,3,3,4,4
"24",6,5,5,7,7,6
"25",5,1,3,3,1,5
"26",5,3,6,5,5,5
"27",6,4,4,7,4,4
"28",4,1,1,1,1,4
"29",6,5,4,6,5,6
"30",6,5,5,4,5,4
"31",6,6,7,4,6,6
"32",5,6,5,4,6,6
"33",6,5,6,6,6,6
"34",6,4,4,3,4,4
"35",5,5,4,3,5,4
"36",5,5,6,4,4,5
"37",6,4,3,4,4,4
"38",4,2,6,4,5,5
"39",6,5,7,4,5,7
"40",6,4,3,4,3,1
"41",3,1,1,3,4,3
"42",7,6,4,6,4,7
"43",6,5,5,4,4,4
"44",6,3,4,3,5,4
"45",6,5,3,4,7,5
"46",4,4,6,2,6,4
"47",7,6,7,6,6,6
"48",5,2,4,5,4,4
"49",3,6,4,6,5,6
"50",6,5,7,5,4,6
"51",6,6,6,6,7,6
"52",3,6,4,6,4,5
"53",6,3,4,4,4,4
"54",5,6,4,3,5,4
"55",4,6,6,4,4,4
"56",5,4,3,4,6,1
"57",6,5,5,5,6,5
"58",6,6,6,4,6,7
"59",3,4,3,4,4,3
"60",5,3,4,4,5,6
"61",7,4,6,6,7,4
"62",4,4,4,5,5,6
"63",5,5,4,3,4,4
"64",7,7,6,5,7,4
"65",5,5,4,2,5,4
"66",6,5,6,5,6,6
"67",4,6,7,5,5,4
"68",6,6,4,4,6,5
"69",3,4,6,6,4,4
"70",4,3,2,2,3,3
"71",5,6,6,4,6,3
"72",5,5,4,3,6,5
"73",7,5,5,4,6,6
"74",4,4,4,5,7,7
"75",4,4,4,4,5,4
"76",7,4,7,4,6,5
"77",6,4,6,6,6,6
"78",5,3,2,5,7,4
"79",4,3,2,1,4,2
"80",7,6,6,4,6,5
"81",6,6,6,6,6,6
"82",6,4,3,2,3,1
"83",6,3,4,4,4,2
"84",6,4,4,5,4,7
"85",6,6,3,4,7,6
"86",6,5,5,4,5,4
"87",5,5,3,4,6,6
"88",6,3,4,4,7,6
"89",2,3,4,5,7,2
"90",5,2,3,3,3,1
"91",6,7,6,7,6,6
"92",6,6,4,7,6,6
"93",5,4,4,4,4,4
"94",7,3,3,1,4,2
"95",6,6,7,6,6,6
"96",5,5,2,3,4,5
"97",4,2,1,1,3,1
"98",6,6,7,4,5,6
"99",1,3,4,4,5,2
"100",4,4,3,3,6,4
"101",4,4,6,3,5,4
"102",5,4,5,4,4,3
"103",4,3,1,1,2,4
"104",4,5,3,5,7,4
"105",6,5,6,6,7,5
"106",6,3,1,4,7,4
"107",6,6,4,4,6,4
"108",5,2,7,4,7,4
"109",6,5,7,6,7,6
"110",7,6,4,4,5,6
"111",6,3,4,2,6,4
"112",4,5,4,6,6,4
"113",3,3,6,6,4,3
"114",7,6,7,5,7,4
"115",4,6,4,6,7,1
"116",5,4,6,2,4,6
"117",6,2,3,2,4,4
"118",7,6,7,6,6,7
"119",3,1,1,1,2,2
"120",3,4,7,4,6,4
"121",7,6,6,5,6,5
"122",7,6,4,4,7,5
"123",6,2,4,4,4,4
"124",4,2,2,2,3,4
"125",5,5,6,6,6,5
"126",5,3,2,4,6,5
"127",6,5,6,1,7,6
"128",5,5,3,6,5,4
"129",5,6,4,4,6,7
"130",4,1,4,6,4,4
"131",7,5,4,6,6,6
"132",4,7,6,6,6,7
"133",6,6,4,3,6,5
"134",4,6,6,5,6,6
"135",1,5,3,3,5,4
"136",4,4,4,3,6,6
"137",6,6,5,5,6,4
"138",4,5,4,3,4,6
"139",6,4,3,7,6,4
"140",6,5,6,4,6,4
"141",7,6,4,6,6,7
"142",6,5,5,4,7,6
"143",6,4,1,1,5,4
"144",4,3,6,5,2,5
"145",5,6,4,6,5,4
"146",7,6,5,3,7,5
"147",7,4,5,2,4,5
"148",7,6,6,6,6,7
"149",4,6,5,3,7,4
"150",4,5,4,7,3,4
"151",3,4,1,4,4,4
"152",5,7,4,2,5,6
"153",5,6,5,6,6,4
"154",6,5,4,4,6,4
"155",6,6,5,5,5,3
"156",6,3,4,5,3,4
"157",4,4,5,6,6,6
"158",6,6,4,3,4,3
"159",6,5,4,2,4,3
"160",4,4,4,3,4,3
"161",7,7,7,4,4,6
"162",3,2,1,1,3,2
"163",5,3,4,4,5,3
"164",6,6,4,3,6,5
"165",4,3,1,4,4,4
"166",1,4,3,3,4,1
"167",4,7,3,6,5,6
"168",4,6,4,4,6,6
"169",7,3,6,4,6,4
"170",5,5,4,6,6,4
"171",7,6,6,6,7,7
"172",5,4,4,4,6,6
"173",5,3,3,3,4,3
"174",4,4,4,2,3,4
"175",5,6,6,5,6,5
"176",6,6,7,6,7,7
"177",5,5,4,5,6,4
"178",5,2,2,6,4,1
"179",6,6,6,6,7,6
"180",6,5,4,4,5,3
"181",6,4,6,4,6,5
"182",6,5,1,4,5,4
"183",6,4,4,4,6,5
"184",6,4,4,4,4,4
"185",6,3,6,3,6,3
"186",4,7,6,6,6,7
"187",1,5,4,7,6,6
"188",5,6,4,5,6,6
"189",4,6,5,3,5,4
"190",2,1,2,4,4,4
"191",6,6,6,6,5,4
"192",6,7,5,6,6,6
"193",4,5,3,4,2,6
"194",4,4,4,3,6,5
"195",6,6,6,4,7,5
"196",6,3,5,2,6,5
"197",6,6,6,4,7,5
"198",3,1,1,4,2,2
"199",4,4,6,6,4,4
"200",1,4,2,1,2,3
"201",5,6,5,6,5,6
"202",5,6,5,4,5,5
"203",4,4,4,4,6,2
"204",5,7,5,5,5,6
"205",7,5,5,5,5,6
"206",6,6,4,4,7,4
"207",7,5,4,4,7,4
"208",7,7,7,7,6,7
"209",6,4,6,7,6,6
"210",7,4,2,3,4,6
"211",6,4,4,3,6,1
"212",6,6,5,6,7,6
"213",7,6,4,4,4,6
"214",5,4,1,4,4,4
"215",6,6,6,4,6,4
"216",6,5,2,4,4,4
"217",7,6,3,5,6,7
"218",6,5,4,6,6,4
"219",7,6,7,6,6,6
"220",6,4,5,5,7,6
"221",4,6,4,5,5,2
"222",6,7,5,1,7,3
"223",5,6,4,6,7,6
"224",3,4,3,3,5,3
"225",6,6,6,4,7,4
"226",4,3,4,2,6,3
"227",7,7,6,5,6,6
"228",4,2,4,1,4,5
"229",6,4,5,4,7,5
"230",1,4,5,4,5,2
"231",6,6,4,5,5,3
"232",5,5,5,3,5,5
"233",7,6,7,7,7,7
"234",6,6,4,3,5,4
"235",7,5,6,6,7,6
"236",6,6,6,6,5,6
"237",2,1,4,1,3,2
"238",5,6,7,5,6,4
"239",7,7,6,6,5,4
"240",1,3,4,1,2,4
"241",6,1,4,4,5,4
"242",7,4,4,3,6,3
"243",6,1,4,6,6,5
"244",6,4,5,4,6,6
"245",5,6,4,4,6,4
"246",4,4,3,3,6,5
"247",6,4,5,5,6,4
"248",6,4,4,7,4,5
"249",4,4,2,4,5,4
"250",6,6,4,7,6,3
"251",3,6,4,5,1,5
"252",4,1,1,1,3,5
"253",7,5,6,6,4,7
"254",4,2,4,2,4,4
"255",5,6,3,4,7,3
"256",5,4,4,2,3,4
"257",6,5,6,6,2,6
"258",4,4,4,4,6,5
"259",4,4,5,6,5,4
"260",4,4,4,4,6,3
"261",6,4,7,7,7,7
"262",5,5,7,4,7,5
"263",7,7,7,6,7,6
"264",6,5,5,4,6,6
"265",2,3,2,3,6,3
"266",2,4,2,1,4,5
"267",4,2,1,6,4,5
"268",4,4,5,6,6,5
"269",6,4,4,4,5,5
"270",4,2,2,2,6,2
"271",4,6,7,4,4,6
"272",3,4,3,4,2,4
"273",4,4,5,4,5,4
"274",6,6,6,6,7,6
"275",7,4,5,5,6,6
"276",5,7,5,5,6,4
"277",6,6,5,7,7,6
"278",7,7,7,6,7,6
"279",4,4,4,1,3,4
"280",7,5,4,4,6,6
"281",5,2,4,5,3,4
"282",6,5,4,6,3,6
"283",4,1,3,4,5,4
"284",3,5,4,4,6,5
"285",5,4,6,5,7,5
"286",6,5,5,4,7,5
"287",7,6,6,4,7,7
"288",6,6,4,6,6,6
"289",4,5,4,3,7,5
"290",4,4,2,3,3,4
"291",3,3,4,4,4,1
"292",5,4,5,3,3,5
"293",7,5,5,2,6,3
"294",6,4,6,4,6,4
"295",6,5,7,5,7,7
"296",4,2,3,3,1,4
"297",5,5,3,3,6,4
"298",3,4,4,1,3,1
"299",7,6,7,4,4,5
"300",7,6,3,4,5,7
"301",5,7,6,7,5,4
"302",7,4,5,4,6,6
"303",5,2,3,2,6,5
"304",6,4,6,4,5,4
"305",4,3,5,1,6,4
"306",3,3,3,4,5,3
"307",6,4,7,6,6,6
"308",6,4,4,5,6,6
"309",7,4,6,4,5,4
"310",7,5,4,7,7,6
"311",4,1,3,5,3,5
"312",7,5,6,6,6,5
"313",3,4,3,2,5,4
"314",6,6,5,5,5,6
"315",7,6,5,4,5,3
"316",4,4,3,4,4,2
"317",7,4,4,5,5,6
"318",5,6,4,4,5,6
"319",7,6,5,5,7,4
"320",6,4,6,5,6,4
"321",4,6,4,6,3,4
"322",4,5,1,1,3,3
"323",4,4,3,4,4,4
"324",6,4,6,5,7,6
"325",6,4,4,2,5,4
"326",4,7,4,6,7,5
"327",4,3,3,4,5,4
"328",6,6,4,7,7,4
"329",5,6,6,6,4,2
"330",5,4,3,4,4,3
"331",5,6,4,2,4,4
"332",5,5,4,4,6,5
"333",6,6,4,6,4,4
"334",1,2,1,1,2,2
"335",5,5,3,4,6,4
"336",5,3,4,5,6,5
"337",7,2,4,4,5,5
"338",7,7,4,6,6,7
"339",5,2,1,4,5,5
"340",3,7,4,5,3,3
"341",4,2,6,5,4,6
"342",6,6,6,1,5,4
"343",4,6,4,6,6,6
"344",3,2,4,3,4,4
"345",6,5,5,4,4,4
"346",5,4,4,2,6,5
"347",7,5,3,4,6,1
"348",4,6,3,4,2,4
"349",7,5,4,7,7,7
"350",7,4,5,1,6,2
"351",4,4,6,5,5,3
"352",4,6,4,4,3,4
"353",4,5,7,3,4,4
"354",4,4,2,1,1,2
"355",7,7,4,6,7,6
"356",6,7,6,6,4,6
"357",5,4,3,4,6,4
"358",6,7,6,6,6,7
"359",3,3,1,3,2,3
"360",4,6,6,4,5,1
"361",6,4,3,3,4,3
"362",6,6,6,6,5,6
"363",3,3,4,3,4,4
"364",6,5,3,4,6,4
"365",7,6,4,4,7,6
"366",5,6,5,4,7,4
"367",6,6,4,4,6,6
"368",6,5,6,5,6,4
"369",1,1,1,1,5,1
"370",6,6,6,6,7,6
"371",7,4,4,6,6,6
"372",5,4,4,4,5,4
"373",6,2,2,1,5,4
"374",4,6,4,5,4,2
"375",4,6,4,4,6,4
"376",5,4,3,3,6,5
"377",6,4,6,4,4,4
"378",2,7,4,6,6,4
"379",6,6,4,4,6,7
"380",5,4,4,1,4,4
"381",6,4,5,5,6,4
"382",7,6,6,4,6,6
"383",2,4,3,4,3,5
"384",5,4,4,4,6,6
"385",4,2,3,2,6,6
"386",4,4,4,1,2,4
"387",4,2,1,1,7,4
"388",4,4,2,4,4,3
"389",3,4,3,3,4,3
"390",4,5,5,1,4,3
"391",6,6,6,6,6,4
"392",5,5,6,4,7,4
"393",7,4,6,6,7,7
"394",7,5,4,4,4,3
"395",2,1,3,1,4,1
"396",5,6,4,1,7,4
"397",4,4,6,4,4,4
"398",5,4,4,4,6,4
"399",7,6,6,4,6,5
"400",5,4,3,4,5,1
"401",5,4,3,4,4,4
"402",6,6,1,4,4,4
"403",3,2,1,4,1,1
"404",7,7,4,7,7,4
"405",3,7,1,6,6,7
"406",4,2,3,6,4,5
"407",4,4,3,5,6,5
"408",7,5,5,4,7,6
"409",7,6,7,7,7,6
"410",5,6,4,4,6,3
"411",7,6,6,6,6,5
"412",3,4,4,5,7,4
"413",7,4,5,4,2,1
"414",6,2,1,3,5,4
"415",1,6,3,3,4,2
"416",5,5,6,5,6,4
"417",6,6,4,5,7,4
"418",3,3,3,2,4,3
"419",6,7,5,6,7,4
"420",3,3,6,4,5,4
"421",4,3,2,4,4,4
"422",4,2,4,4,7,4
"423",6,4,4,6,5,4
"424",4,7,7,5,4,6
"425",6,7,4,5,6,6
"426",7,7,2,4,2,1
"427",7,4,4,4,5,4
"428",7,5,6,6,7,6
"429",4,4,3,4,5,2
"430",4,2,2,3,6,5
"431",3,2,3,5,3,5
"432",7,7,6,4,7,5
"433",6,4,4,1,5,2
"434",6,4,4,4,5,7
"435",6,4,4,4,5,2
"436",6,7,5,4,5,6
"437",6,7,4,6,6,6
"438",6,5,6,7,7,6
"439",6,5,5,6,7,4
"440",4,3,3,3,6,2
"441",7,6,5,4,7,6
"442",5,5,4,3,6,4
"443",6,6,6,4,6,5
"444",3,6,3,4,5,2
"445",1,4,3,1,6,5
"446",6,4,7,6,6,5
"447",4,4,4,4,6,3
"448",5,4,5,5,6,3
"449",7,4,4,3,3,4
"450",6,7,6,6,7,6
"451",7,7,4,6,4,6
"452",6,6,1,1,2,4
"453",4,4,4,1,4,5
"454",5,3,3,2,3,2
"455",6,1,3,2,4,4
"456",7,6,5,5,7,5
"457",7,6,4,7,7,6
"458",3,4,5,5,5,4
"459",6,4,4,5,4,6
"460",6,6,4,6,4,5
"461",7,6,7,4,6,6
"462",4,2,3,6,2,1
"463",5,1,5,5,5,1
"464",4,6,4,4,6,7
"465",6,6,4,4,5,2
"466",7,5,6,3,6,6
"467",2,4,1,4,6,2
"468",6,7,5,4,4,6
"469",4,6,6,6,4,2
"470",6,7,4,5,6,4
"471",6,3,5,4,6,7
"472",7,6,6,6,7,6
"473",7,7,7,6,7,7
"474",6,6,4,6,6,4
"475",6,6,6,6,6,6
"476",6,4,2,1,4,1
"477",4,5,4,1,4,2
"478",4,3,2,2,6,3
"479",5,1,3,4,5,5
"480",6,5,4,6,4,4
"481",7,6,6,6,7,6
"482",6,5,5,4,7,6
"483",4,5,3,1,6,4
"484",6,5,6,6,7,6
"485",5,7,4,5,6,6
"486",4,4,1,1,1,2
"487",6,2,1,3,3,1
"488",4,4,3,3,6,4
"489",6,5,4,5,5,6
"490",3,5,4,4,6,5
"491",7,6,5,6,6,6
"492",5,4,2,4,5,5
"493",6,4,3,2,1,4
"494",4,4,2,4,3,3
"495",4,3,1,1,6,4
"496",6,7,4,7,5,4
"497",6,5,4,4,7,4
"498",5,4,4,4,5,1
"499",6,4,4,2,5,4
"500",5,3,4,4,4,3
